挨着	挨著	ai1zhe5	āizhe	sát bên; kề bên
为何	為何	wei4he2	wèihé	vì sao; tại sao
文娱	文娛	wen2yu2	wényú	văn nghệ giải trí
卧铺	臥鋪	wo4pu4	wòpù	giường nằm (trên tàu xe)
乌云	烏雲	wu1yun2	wūyún	mây đen
无边	無邊	wu2bian1	wúbiān	vô biên; không bờ bến
无关	無關	wu2guan1	wúguān	không liên quan
无效	無效	wu2xiao4	wúxiào	vô hiệu; không có tác dụng
舞蹈	舞蹈	wu3dao3	wǔdǎo	múa; vũ đạo
物品	物品	wu4pin3	wùpǐn	vật phẩm; đồ vật
误	誤	wu4	wù	sai lầm; lỡ (chuyến); làm lỡ
西班牙语	西班牙語	Xi1ban1ya2yu3	Xībānyáyǔ	tiếng Tây Ban Nha
吸毒	吸毒	xi1du2	xīdú	hút chích ma túy; nghiện ma túy
牺牲	犧牲	xi1sheng1	xīshēng	hy sinh
洗衣粉	洗衣粉	xi3yi1fen3	xǐyīfěn	bột giặt
戏曲	戲曲	xi4qu3	xìqǔ	hí khúc; kịch hát cổ truyền Trung Quốc
细胞	細胞	xi4bao1	xìbāo	tế bào
细菌	細菌	xi4jun1	xìjūn	vi khuẩn
先锋	先鋒	xian1feng1	xiānfēng	tiên phong; người đi đầu
嫌	嫌	xian2	xián	chê; không ưa; nghi ngờ
显出	顯出	xian3chu1	xiǎnchū	lộ ra; biểu lộ
险	險	xian3	xiǎn	nguy hiểm; hiểm trở; suýt nữa
线路	線路	xian4lu4	xiànlù	tuyến đường; mạch điện
陷入	陷入	xian4ru4	xiànrù	sa vào; rơi vào; lún vào
响声	響聲	xiang3sheng1	xiǎngshēng	tiếng động; tiếng vang
想不到	想不到	xiang3bu5dao4	xiǎngbudào	không ngờ; không thể tưởng tượng
消耗	消耗	xiao1hao4	xiāohào	tiêu hao; tiêu tốn
消灭	消滅	xiao1mie4	xiāomiè	tiêu diệt; xóa sổ
小费	小費	xiao3fei4	xiǎofèi	tiền boa; tiền típ
小麦	小麥	xiao3mai4	xiǎomài	lúa mì
小于	小於	xiao3yu2	xiǎoyú	nhỏ hơn
晓得	曉得	xiao3de5	xiǎode	biết; hiểu
笑脸	笑臉	xiao4lian3	xiàoliǎn	khuôn mặt tươi cười
笑容	笑容	xiao4rong2	xiàoróng	nụ cười; vẻ tươi cười
笑声	笑聲	xiao4sheng1	xiàoshēng	tiếng cười
协会	協會	xie2hui4	xiéhuì	hiệp hội
协商	協商	xie2shang1	xiéshāng	hiệp thương; bàn bạc thỏa thuận
协调	協調	xie2tiao2	xiétiáo	phối hợp; điều phối; hài hòa
协助	協助	xie2zhu4	xiézhù	hỗ trợ; giúp đỡ
写字楼	寫字樓	xie3zi4lou2	xiězìlóu	tòa nhà văn phòng; cao ốc văn phòng
写字台	寫字檯	xie3zi4tai2	xiězìtái	bàn viết; bàn làm việc
心灵	心靈	xin1ling2	xīnlíng	tâm hồn; tâm linh
心愿	心願	xin1yuan4	xīnyuàn	tâm nguyện; ước nguyện
心脏	心臟	xin1zang4	xīnzàng	tim; trái tim
心脏病	心臟病	xin1zang4bing4	xīnzàngbìng	bệnh tim
新人	新人	xin1ren2	xīnrén	người mới; tân binh; cô dâu chú rể
新兴	新興	xin1xing1	xīnxīng	mới nổi; mới hưng khởi
薪水	薪水	xin1shui3	xīnshuǐ	lương; tiền lương
信仰	信仰	xin4yang3	xìnyǎng	tín ngưỡng; niềm tin
信用	信用	xin4yong4	xìnyòng	chữ tín; tín dụng
兴旺	興旺	xing1wang4	xīngwàng	hưng vượng; phát đạt
行程	行程	xing2cheng2	xíngchéng	hành trình; lịch trình
形	形	xing2	xíng	hình; hình dạng; biểu lộ
凶	凶	xiong1	xiōng	hung dữ; dữ tợn; điềm xấu
凶手	兇手	xiong1shou3	xiōngshǒu	hung thủ; kẻ giết người
修车	修車	xiu1che1	xiūchē	sửa xe
袖珍	袖珍	xiu4zhen1	xiùzhēn	bỏ túi; cỡ nhỏ
悬	懸	xuan2	xuán	treo; lơ lửng; lo lắng
旋转	旋轉	xuan2zhuan3	xuánzhuǎn	xoay; quay tròn
选拔	選拔	xuan3ba2	xuǎnbá	tuyển chọn
选举	選舉	xuan3ju3	xuǎnjǔ	bầu cử; tuyển cử
学会	學會	xue2hui4	xuéhuì	học được; hội (học thuật)
学员	學員	xue2yuan2	xuéyuán	học viên
血管	血管	xue4guan3	xuèguǎn	mạch máu
血液	血液	xue4ye4	xuèyè	máu; huyết dịch
循环	循環	xun2huan2	xúnhuán	tuần hoàn; lặp vòng
压迫	壓迫	ya1po4	yāpò	áp bức; chèn ép
烟花	煙花	yan1hua1	yānhuā	pháo hoa
沿	沿	yan2	yán	dọc theo; men theo; kế thừa
沿海	沿海	yan2hai3	yánhǎi	ven biển; duyên hải
沿着	沿著	yan2zhe5	yánzhe	dọc theo; men theo
研发	研發	yan2fa1	yánfā	nghiên cứu phát triển
眼看	眼看	yan3kan4	yǎnkàn	sắp; nhãn tiền; trơ mắt nhìn
演奏	演奏	yan3zou4	yǎnzòu	biểu diễn nhạc cụ; diễn tấu
宴会	宴會	yan4hui4	yànhuì	yến tiệc; tiệc chiêu đãi
洋	洋	yang2	yáng	đại dương; Tây, ngoại quốc
仰	仰	yang3	yǎng	ngẩng lên; ngưỡng mộ
养老	養老	yang3lao3	yǎnglǎo	dưỡng lão; phụng dưỡng người già
氧气	氧氣	yang3qi4	yǎngqì	khí ô-xy
样	樣	yang4	yàng	kiểu; dạng; (lượng từ) loại, thứ
药品	藥品	yao4pin3	yàopǐn	dược phẩm; thuốc men
要不然	要不然	yao4bu4ran2	yàobùrán	nếu không thì; chẳng thì
要好	要好	yao4hao3	yàohǎo	thân thiết; chơi thân
要么	要麼	yao4me5	yàome	hoặc là... hoặc là
要素	要素	yao4su4	yàosù	yếu tố then chốt; nhân tố chính
野	野	ye3	yě	đồng nội, hoang dã; ngang bướng
野生	野生	ye3sheng1	yěshēng	hoang dã; sống tự nhiên
医药	醫藥	yi1yao4	yīyào	y dược; thuốc men
依次	依次	yi1ci4	yīcì	lần lượt; theo thứ tự
依赖	依賴	yi1lai4	yīlài	dựa dẫm; phụ thuộc vào
一次性	一次性	yi1ci4xing4	yīcìxìng	dùng một lần; một lần duy nhất
一代	一代	yi1dai4	yīdài	một thế hệ; một đời
一道	一道	yi1dao4	yīdào	cùng nhau; cùng đường
一贯	一貫	yi1guan4	yīguàn	nhất quán; trước sau như một
一路上	一路上	yi1lu4shang4	yīlùshàng	dọc đường; suốt dọc đường
仪器	儀器	yi2qi4	yíqì	thiết bị đo; máy móc thí nghiệm
仪式	儀式	yi2shi4	yíshì	nghi thức; nghi lễ
遗憾	遺憾	yi2han4	yíhàn	tiếc; đáng tiếc
一番	一番	yi4fan1	yìfān	một phen; một hồi; một lượt
一模一样	一模一樣	yi1mu2yi1yang4	yīmúyīyàng	giống hệt nhau; y hệt
一齐	一齊	yi1qi2	yīqí	cùng lúc; đồng loạt
一时	一時	yi1shi2	yīshí	nhất thời; một lúc; tạm thời
一同	一同	yi1tong2	yītóng	cùng nhau; cùng
一行	一行	yi1xing2	yīxíng	đoàn; nhóm người cùng đi
艺人	藝人	yi4ren2	yìrén	nghệ sĩ biểu diễn; nghệ nhân
议题	議題	yi4ti2	yìtí	chủ đề bàn luận; nghị đề
异常	異常	yi4chang2	yìcháng	khác thường; bất thường; hết sức
意想不到	意想不到	yi4xiang3bu4dao4	yìxiǎngbùdào	không thể ngờ tới; ngoài dự liệu
意愿	意願	yi4yuan4	yìyuàn	nguyện vọng; ý nguyện
因	因	yin1	yīn	nguyên nhân; vì; do
因素	因素	yin1su4	yīnsù	nhân tố; yếu tố
阴谋	陰謀	yin1mou2	yīnmóu	âm mưu
阴影	陰影	yin1ying3	yīnyǐng	bóng râm; bóng đen (tâm lý)
音量	音量	yin1liang4	yīnliàng	âm lượng
音像	音像	yin1xiang4	yīnxiàng	âm thanh và hình ảnh; nghe nhìn
隐藏	隱藏	yin3cang2	yǐncáng	ẩn giấu; che giấu
隐私	隱私	yin3si1	yǐnsī	chuyện riêng tư; quyền riêng tư
印	印	yin4	yìn	in; đóng dấu; dấu ấn
英雄	英雄	ying1xiong2	yīngxióng	anh hùng
迎来	迎來	ying2lai2	yínglái	đón; đón chào; mở ra (giai đoạn)
影迷	影迷	ying3mi2	yǐngmí	người hâm mộ điện ảnh
影星	影星	ying3xing1	yǐngxīng	ngôi sao điện ảnh; minh tinh
应对	應對	ying4dui4	yìngduì	ứng phó; đối đáp
应急	應急	ying4ji2	yìngjí	ứng phó khẩn cấp; dùng khi khẩn cấp
用处	用處	yong4chu5	yòngchu	công dụng; chỗ dùng
用得着	用得著	yong4de5zhao2	yòngdezháo	dùng được; cần đến
用法	用法	yong4fa3	yòngfǎ	cách dùng
用品	用品	yong4pin3	yòngpǐn	đồ dùng; vật dụng
用心	用心	yong4xin1	yòngxīn	chú tâm; dụng công; dụng ý
优质	優質	you1zhi4	yōuzhì	chất lượng cao; chất lượng tốt
游人	遊人	you2ren2	yóurén	khách du lịch; du khách
游玩	遊玩	you2wan2	yóuwán	đi chơi; tham quan vui chơi
游戏机	遊戲機	you2xi4ji1	yóuxìjī	máy chơi game
游行	遊行	you2xing2	yóuxíng	diễu hành; tuần hành
有关	有關	you3guan1	yǒuguān	có liên quan; liên quan đến
有没有	有沒有	you3mei2you3	yǒuméiyǒu	có... không?
有事	有事	you3shi4	yǒushì	có việc; bận việc
于	於	yu2	yú	ở, vào (thời gian, nơi chốn); đối với
娱乐	娛樂	yu2le4	yúlè	giải trí; vui chơi
愉快	愉快	yu2kuai4	yúkuài	vui vẻ; vui sướng
与	與	yu3	yǔ	và; với; cho
宇航员	宇航員	yu3hang2yuan2	yǔhángyuán	phi hành gia
雨衣	雨衣	yu3yi1	yǔyī	áo mưa
预约	預約	yu4yue1	yùyuē	đặt hẹn trước; đặt chỗ
元素	元素	yuan2su4	yuánsù	nguyên tố; yếu tố
园	園	yuan2	yuán	vườn; công viên
园地	園地	yuan2di4	yuándì	khu vườn; mảnh đất, chuyên mục
原	原	yuan2	yuán	vốn; nguyên; ban đầu
原告	原告	yuan2gao4	yuángào	nguyên đơn
原谅	原諒	yuan2liang4	yuánliàng	tha thứ; thứ lỗi
圆珠笔	圓珠筆	yuan2zhu1bi3	yuánzhūbǐ	bút bi
援助	援助	yuan2zhu4	yuánzhù	viện trợ; giúp đỡ
缘故	緣故	yuan2gu4	yuángù	duyên cớ; nguyên do
远方	遠方	yuan3fang1	yuǎnfāng	phương xa; nơi xa
远离	遠離	yuan3li2	yuǎnlí	rời xa; tránh xa
远远	遠遠	yuan3yuan3	yuǎnyuǎn	xa xa; xa hơn nhiều
约定	約定	yue1ding4	yuēdìng	hẹn ước; giao hẹn
乐曲	樂曲	yue4qu3	yuèqǔ	nhạc khúc; bản nhạc
晕	暈	yun1	yūn	choáng váng; chóng mặt
允许	允許	yun3xu3	yǔnxǔ	cho phép; chuẩn y
运作	運作	yun4zuo4	yùnzuò	vận hành; hoạt động
晕车	暈車	yun4che1	yùnchē	say xe
杂	雜	za2	zá	tạp; hỗn tạp; lặt vặt
再生	再生	zai4sheng1	zàishēng	tái sinh; tái chế
再说	再說	zai4shuo1	zàishuō	hẵng hay, tính sau; hơn nữa
遭到	遭到	zao1dao4	zāodào	bị; gặp phải
遭受	遭受	zao1shou4	zāoshòu	chịu; hứng chịu (tổn thất)
遭遇	遭遇	zao1yu4	zāoyù	gặp phải; cảnh ngộ
早晚	早晚	zao3wan3	zǎowǎn	sớm tối; sớm muộn gì cũng
增进	增進	zeng1jin4	zēngjìn	tăng cường; thúc đẩy
增值	增值	zeng1zhi2	zēngzhí	tăng giá trị; gia tăng giá trị
扎	紮	za1	zā	buộc; bó; (lượng từ) bó
扎实	扎實	zha1shi5	zhāshi	vững chắc; chắc chắn
炸	炸	zha4	zhà	nổ; làm nổ tung
炸弹	炸彈	zha4dan4	zhàdàn	bom
炸药	炸藥	zha4yao4	zhàyào	thuốc nổ
债	債	zhai4	zhài	nợ; món nợ
占据	佔據	zhan4ju4	zhànjù	chiếm cứ; chiếm giữ
战场	戰場	zhan4chang3	zhànchǎng	chiến trường
战略	戰略	zhan4lüe4	zhànlüè	chiến lược
战术	戰術	zhan4shu4	zhànshù	chiến thuật
战友	戰友	zhan4you3	zhànyǒu	đồng đội; chiến hữu
站台	站臺	zhan4tai2	zhàntái	sân ga; thềm ga
章	章	zhang1	zhāng	chương (sách); điều khoản
掌声	掌聲	zhang3sheng1	zhǎngshēng	tiếng vỗ tay
账	賬	zhang4	zhàng	tài khoản; sổ sách; nợ
账户	賬戶	zhang4hu4	zhànghù	tài khoản (ngân hàng, mạng)
障碍	障礙	zhang4ai4	zhàngài	trở ngại; rào cản
招	招	zhao1	zhāo	tuyển; vẫy gọi; chiêu (võ)
招聘	招聘	zhao1pin4	zhāopìn	tuyển dụng; tuyển người
照样	照樣	zhao4yang4	zhàoyàng	vẫn như cũ; y như vậy
照耀	照耀	zhao4yao4	zhàoyào	chiếu rọi; tỏa sáng
哲学	哲學	zhe2xue2	zhéxué	triết học
这就是说	這就是說	zhe4jiu4shi4shuo1	zhèjiùshìshuō	tức là; điều đó có nghĩa là
镇	鎮	zhen4	zhèn	thị trấn; trấn áp
争夺	爭奪	zheng1duo2	zhēngduó	tranh giành; giành giật
整顿	整頓	zheng3dun4	zhěngdùn	chấn chỉnh; sắp xếp lại
整治	整治	zheng3zhi4	zhěngzhì	chỉnh trị, sửa sang; trừng trị
正当	正當	zheng4dang4	zhèngdàng	chính đáng; hợp lẽ
政策	政策	zheng4ce4	zhèngcè	chính sách
政党	政黨	zheng4dang3	zhèngdǎng	chính đảng; đảng phái chính trị
政权	政權	zheng4quan2	zhèngquán	chính quyền
症状	症狀	zheng4zhuang4	zhèngzhuàng	triệu chứng
之类	之類	zhi1lei4	zhīlèi	đại loại như; và những thứ tương tự
支撑	支撐	zhi1cheng1	zhīchēng	chống đỡ; nâng đỡ
支援	支援	zhi1yuan2	zhīyuán	chi viện; hỗ trợ
枝	枝	zhi1	zhī	cành cây; (lượng từ) cây, chiếc
知名	知名	zhi1ming2	zhīmíng	nổi tiếng; có tiếng
织	織	zhi1	zhī	dệt; đan
直升机	直升機	zhi2sheng1ji1	zhíshēngjī	máy bay trực thăng
职责	職責	zhi2ze2	zhízé	chức trách; trách nhiệm
止	止	zhi3	zhǐ	dừng; ngăn; cho đến
只得	只得	zhi3de2	zhǐdé	đành phải; chỉ còn cách
只顾	只顧	zhi3gu4	zhǐgù	chỉ lo; mải mê
只管	只管	zhi3guan3	zhǐguǎn	cứ việc; cứ tự nhiên
指定	指定	zhi3ding4	zhǐdìng	chỉ định; chỉ rõ
指数	指數	zhi3shu4	zhǐshù	chỉ số; số mũ
指头	指頭	zhi3tou5	zhǐtou	ngón tay; ngón chân
指着	指著	zhǐzhe	zhǐzhe	chỉ vào; trỏ vào
至于	至於	zhi4yu2	zhìyú	còn về; đến mức
治病	治病	zhi4bing4	zhìbìng	chữa bệnh
智慧	智慧	zhi4hui4	zhìhuì	trí tuệ; sự khôn ngoan
中等	中等	zhong1deng3	zhōngděng	trung bình; bậc trung
中华	中華	Zhong1hua2	Zhōnghuá	Trung Hoa
中期	中期	zhong1qi1	zhōngqī	giữa kỳ; trung hạn
中外	中外	zhong1wai4	zhōngwài	trong nước và nước ngoài
忠心	忠心	zhong1xin1	zhōngxīn	lòng trung thành; trung thành
钟头	鐘頭	zhong1tou2	zhōngtóu	tiếng đồng hồ; giờ
肿	腫	zhong3	zhǒng	sưng; phù
种种	種種	zhong3zhong3	zhǒngzhǒng	đủ loại; mọi thứ
粥	粥	zhou1	zhōu	cháo
珠宝	珠寶	zhu1bao3	zhūbǎo	châu báu; nữ trang
诸位	諸位	zhu1wei4	zhūwèi	chư vị; quý vị
主持人	主持人	zhu3chi2ren2	zhǔchírén	người dẫn chương trình; MC
主角	主角	zhu3jue2	zhǔjué	vai chính; nhân vật chính
主流	主流	zhu3liu2	zhǔliú	dòng chính; xu hướng chủ đạo
煮	煮	zhu3	zhǔ	nấu; luộc
住宅	住宅	zhu4zhai2	zhùzhái	nhà ở; nhà cửa
驻	駐	zhu4	zhù	đóng quân; đồn trú; thường trú
柱子	柱子	zhu4zi5	zhùzi	cột; trụ
祝愿	祝願	zhu4yuan4	zhùyuàn	chúc; cầu chúc
专用	專用	zhuan1yong4	zhuānyòng	chuyên dùng; dành riêng
赚	賺	zhuan4	zhuàn	kiếm được (tiền); lãi
赚钱	賺錢	zhuan4qian2	zhuànqián	kiếm tiền; sinh lời
装备	裝備	zhuang1bei4	zhuāngbèi	trang bị; thiết bị
壮观	壯觀	zhuang4guan1	zhuàngguān	hùng vĩ; tráng lệ
追究	追究	zhui1jiu1	zhuījiū	truy cứu; truy xét
捉	捉	zhuo1	zhuō	bắt; tóm; túm lấy
咨询	咨詢	zi1xun2	zīxún	tư vấn; hỏi ý kiến
自来水	自來水	zi4lai2shui3	zìláishuǐ	nước máy
自我	自我	zi4wo3	zìwǒ	tự mình; bản ngã, cái tôi
自学	自學	zi4xue2	zìxué	tự học
自言自语	自言自語	zi4yan2zi4yu3	zìyánzìyǔ	tự nói một mình; lẩm bẩm
自在	自在	zi4zai5	zìzai	thoải mái; tự tại
宗教	宗教	zong1jiao4	zōngjiào	tôn giáo
总部	總部	zong3bu4	zǒngbù	tổng bộ; trụ sở chính
总监	總監	zong3jian1	zǒngjiān	giám đốc (bộ phận); tổng giám sát
总经理	總經理	zong3jing1li3	zǒngjīnglǐ	tổng giám đốc
总量	總量	zong3liang4	zǒngliàng	tổng lượng; tổng số
走私	走私	zou3si1	zǒusī	buôn lậu
奏	奏	zou4	zòu	tấu nhạc; đạt được (hiệu quả)
租金	租金	zu1jin1	zūjīn	tiền thuê; tiền thuê nhà
足	足	zu2	zú	chân; đủ, đầy đủ
足以	足以	zu2yi3	zúyǐ	đủ để; đủ sức
族	族	zu2	zú	dân tộc; dòng họ; (hậu tố) giới, nhóm người
祖父	祖父	zu3fu4	zǔfù	ông nội
祖国	祖國	zu3guo2	zǔguó	tổ quốc
祖母	祖母	zu3mu3	zǔmǔ	bà nội
钻	鑽	zuan1	zuān	khoan; chui vào; nghiền ngẫm
最佳	最佳	zui4jia1	zuìjiā	tốt nhất; hay nhất
最终	最終	zui4zhong1	zuìzhōng	cuối cùng; rốt cuộc
罪	罪	zui4	zuì	tội; tội lỗi
罪恶	罪惡	zui4e4	zuìè	tội ác
作	作	zuo4	zuò	làm; sáng tác; giả vờ
作废	作廢	zuo4fei4	zuòfèi	hết hiệu lực; hủy bỏ
作战	作戰	zuo4zhan4	zuòzhàn	tác chiến; chiến đấu
座谈会	座談會	zuo4tan2hui4	zuòtánhuì	hội nghị tọa đàm; buổi tọa đàm
